UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP 
175078,"R",499,"R",506,"R",99,"R",68,"R",63
175148,"A",,"A",,"A",,"R",75,"R",50
175157,"R",181,"R",444,"R",41,"R",46,"R",13
175227,"R",300,"R",516,"R",58,"R",62,"R",33
175236,"R",877,"R",1629,"R",54,"R",60,"R",41
175263,"R",300,"R",788,"R",38,"R",58,"R",53
175272,"R",1718,"R",2245,"R",77,"R",71,"R",11
175315,"R",1074,"R",3226,"R",33,"R",51,"R",35
175342,"R",486,"R",850,"R",57,"R",69,"R",100
175421,"R",306,"R",361,"R",85,"R",68,"A",
175430,"R",39,"R",75,"R",52,"R",69,"R",33
175494,"A",,"A",,"A",,"R",53,"A",
175519,"R",1115,"R",1176,"R",95,"R",44,"R",44
175528,"R",31,"R",54,"R",57,"R",30,"R",60
175564,"R",238,"R",323,"R",74,"R",60,"R",18
175573,"R",727,"R",979,"R",74,"R",66,"R",13
175591,"A",,"A",,"A",,"R",67,"R",64
175607,"A",,"A",,"A",,"R",54,"R",61
175616,"R",463,"R",1019,"R",45,"R",64,"R",36
175643,"R",551,"R",801,"R",69,"R",65,"A",
175652,"R",1009,"R",1445,"R",70,"R",54,"R",11
175698,"A",,"A",,"A",,"R",50,"R",67
175713,"A",,"A",,"A",,"R",66,"R",34
175722,"A",,"A",,"A",,"R",75,"A",
175786,"R",1823,"R",5802,"R",31,"R",69,"R",61
175810,"R",1082,"R",4876,"R",22,"R",59,"R",29
175829,"R",1407,"R",2296,"R",61,"R",56,"R",31
175856,"R",889,"R",1509,"R",59,"R",66,"R",25
175883,"R",1314,"R",1715,"R",77,"R",57,"R",16
175917,"R",1,"R",5,"R",20,"R",100,"A",
175935,"R",1214,"R",1598,"R",76,"R",54,"R",28
175980,"R",232,"R",289,"R",80,"R",78,"A",
176008,"R",726,"R",906,"R",80,"R",57,"R",14
176017,"R",2527,"R",3725,"R",68,"R",80,"R",16
176035,"R",257,"R",568,"R",45,"R",70,"R",29
176044,"R",443,"R",677,"R",65,"R",62,"R",43
176053,"R",445,"R",759,"R",59,"R",68,"R",90
176062,"A",,"A",,"A",,"R",80,"A",
176071,"R",1564,"R",2525,"R",62,"R",63,"R",30
176080,"R",1904,"R",3358,"R",57,"R",82,"R",73
176169,"R",995,"R",1273,"R",78,"R",64,"R",38
176178,"R",1476,"R",2408,"R",61,"R",65,"R",22
176239,"R",1514,"R",2613,"R",58,"R",41,"R",36
176318,"R",249,"R",249,"R",100,"R",54,"A",
176336,"R",8,"R",32,"R",25,"R",100,"R",100
176354,"R",473,"R",543,"R",87,"R",55,"R",32
176372,"R",1563,"R",3367,"R",46,"R",73,"R",57
176390,"A",,"A",,"A",,"R",80,"R",67
176406,"R",244,"R",278,"R",88,"R",69,"A",
176415,"A",,"A",,"A",,"R",81,"A",
176460,"R",14,"R",72,"R",19,"R",71,"R",67
176479,"R",132,"R",393,"R",34,"R",71,"R",28
176497,"A",,"A",,"A",,"R",78,"A",
176549,"A",,"A",,"A",,"R",74,"A",
176628,"R",138,"R",328,"R",42,"R",68,"A",
176637,"R",80,"R",97,"R",82,"R",62,"R",30
176664,"R",154,"R",199,"R",77,"R",61,"R",50
176716,"A",,"A",,"A",,"R",79,"A",
176734,"A",,"A",,"A",,"R",100,"A",
176770,"R",60,"R",136,"R",44,"R",63,"R",47
176789,"R",43,"R",86,"R",50,"R",61,"R",50
176798,"A",,"A",,"A",,"R",77,"R",92
176910,"R",80,"R",130,"R",62,"R",58,"R",0
176938,"R",98,"R",165,"R",59,"R",75,"R",72
176947,"R",205,"R",292,"R",70,"R",61,"A",
176965,"R",1507,"R",2404,"R",63,"R",67,"R",39
176983,"R",55,"R",59,"R",93,"R",91,"A",
176992,"A",,"A",,"A",,"R",89,"R",80
177038,"R",3,"R",47,"R",6,"R",100,"R",0
177056,"A",,"A",,"A",,"R",92,"R",100
177065,"R",171,"R",2467,"R",7,"R",67,"R",50
177083,"R",13,"R",17,"R",76,"R",86,"A",
177117,"R",171,"R",177,"R",97,"R",74,"A",
177135,"R",427,"R",560,"R",76,"R",60,"R",42
177144,"R",212,"R",341,"R",62,"R",65,"Z",0
177153,"R",2,"R",320,"R",1,"R",75,"A",
177162,"R",111,"R",400,"R",28,"R",40,"R",31
177214,"R",526,"R",1264,"R",42,"R",75,"R",37
177250,"R",650,"R",1032,"R",63,"R",63,"R",39
177287,"A",,"A",,"A",,"R",63,"R",86
177302,"R",49,"R",49,"R",100,"R",72,"A",
177339,"R",367,"R",496,"R",74,"R",79,"A",
177418,"R",189,"R",435,"R",43,"R",58,"R",75
177436,"R",32,"R",34,"R",94,"R",83,"R",100
177472,"R",1622,"R",3054,"R",53,"R",54,"R",39
177542,"R",131,"R",278,"R",47,"R",53,"R",0
177551,"R",346,"R",733,"R",47,"R",50,"R",27
177579,"R",137,"R",206,"R",67,"R",84,"A",
177588,"A",,"A",,"A",,"R",56,"A",
177603,"A",,"A",,"A",,"R",83,"R",71
177676,"R",852,"R",1329,"R",64,"R",60,"R",42
177685,"A",,"A",,"A",,"R",86,"A",
177719,"R",4,"R",159,"R",3,"R",75,"R",77
177746,"R",222,"R",253,"R",88,"R",84,"A",
177807,"A",,"A",,"A",,"R",90,"A",
177870,"R",15,"R",16,"R",94,"R",100,"R",100
177931,"A",,"A",,"A",,"R",75,"R",73
177940,"R",550,"R",719,"R",76,"R",51,"R",22
177968,"R",865,"R",1742,"R",50,"R",67,"A",
177977,"R",401,"R",472,"R",85,"R",68,"R",42
177995,"R",662,"R",982,"R",67,"R",56,"R",28
178004,"R",0,"R",44,"R",0,"A",,"A",
178022,"R",579,"R",832,"R",70,"R",55,"R",27
178059,"R",290,"R",852,"R",34,"R",81,"Z",0
178077,"A",,"A",,"A",,"R",81,"A",
178110,"R",146,"R",152,"R",96,"R",77,"A",
178183,"A",,"A",,"A",,"R",76,"R",78
178208,"R",18,"R",61,"R",30,"R",100,"R",0
178217,"R",624,"R",909,"R",69,"R",61,"R",31
178226,"R",120,"R",137,"R",88,"R",50,"R",33
178244,"R",186,"R",458,"R",41,"R",57,"R",24
178262,"A",,"A",,"A",,"R",86,"A",
178305,"R",138,"R",184,"R",75,"R",80,"A",
178314,"A",,"A",,"A",,"R",81,"A",
178332,"A",,"A",,"A",,"R",80,"A",
178341,"R",855,"R",1721,"R",50,"R",71,"R",53
178350,"R",3,"R",17,"R",18,"R",100,"R",50
178369,"R",375,"R",508,"R",74,"R",58,"R",99
178387,"R",940,"R",1421,"R",66,"R",57,"R",42
178396,"R",4786,"R",5948,"R",80,"R",84,"R",58
178402,"R",929,"R",2731,"R",34,"R",70,"R",25
178411,"R",935,"R",1243,"R",75,"R",87,"R",60
178420,"R",477,"R",4551,"R",10,"R",71,"R",47
178448,"R",682,"R",1023,"R",67,"R",44,"R",53
178466,"A",,"A",,"A",,"R",87,"R",72
178484,"A",,"A",,"A",,"R",81,"A",
178527,"A",,"A",,"A",,"R",89,"A",
178563,"A",,"A",,"A",,"R",91,"R",75
178606,"R",5,"R",8,"R",63,"R",5,"R",3
178615,"R",1365,"R",1367,"R",100,"R",85,"R",50
178624,"R",1265,"R",1535,"R",82,"R",71,"R",33
178679,"R",146,"R",188,"R",78,"R",50,"R",67
178697,"R",276,"R",337,"R",82,"R",81,"A",
178721,"R",188,"R",194,"R",97,"R",66,"R",55
