UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP 
115126,"R",900,"R",4470,"R",20,"R",69,"R",43
115296,"R",1462,"R",5498,"R",27,"R",63,"R",42
115357,"R",36,"R",48,"R",75,"R",81,"R",76
115393,"R",249,"R",2028,"R",12,"R",72,"R",40
115409,"R",192,"R",200,"R",96,"R",97,"R",100
115454,"R",95,"R",131,"R",73,"R",48,"R",42
115472,"R",180,"R",215,"R",84,"R",47,"R",0
115490,"R",178,"R",217,"R",82,"R",62,"R",46
115515,"R",95,"R",112,"R",85,"R",66,"R",37
115533,"R",131,"R",160,"R",82,"R",51,"R",40
115658,"R",28,"R",83,"R",34,"R",90,"R",74
115728,"R",108,"R",225,"R",48,"R",62,"Z",0
115755,"R",760,"R",1660,"R",46,"R",76,"R",50
115773,"R",137,"R",492,"R",28,"R",68,"R",32
115861,"R",266,"R",1370,"R",19,"R",73,"R",61
115931,"R",220,"R",575,"R",38,"R",50,"A",
116040,"R",115,"R",171,"R",67,"R",85,"A",
116350,"R",22,"R",48,"R",46,"R",100,"R",100
116439,"R",477,"R",3537,"R",13,"R",69,"R",42
116466,"R",247,"R",282,"R",88,"R",66,"R",38
116475,"R",172,"R",191,"R",90,"R",71,"R",31
116484,"R",111,"R",126,"R",88,"R",72,"R",47
116563,"R",37,"R",114,"R",32,"R",74,"A",
116846,"R",27,"R",27,"R",100,"R",57,"R",100
117052,"R",623,"R",3621,"R",17,"R",65,"R",31
117104,"R",49,"R",115,"R",43,"R",64,"R",100
117113,"R",302,"R",421,"R",72,"R",64,"R",40
117140,"R",375,"R",1032,"R",36,"R",88,"R",100
117168,"R",44,"R",83,"R",53,"R",65,"A",
117186,"R",19,"R",45,"R",42,"R",67,"R",33
117195,"R",60,"R",835,"R",7,"R",51,"R",28
117238,"R",71,"R",71,"R",100,"R",69,"A",
117247,"R",147,"R",3330,"R",4,"R",60,"R",36
117274,"R",151,"R",680,"R",22,"R",43,"R",21
117557,"R",5,"R",16,"R",31,"R",71,"R",100
117575,"R",10,"R",21,"R",48,"R",60,"R",100
117627,"R",350,"R",585,"R",60,"R",66,"R",28
117645,"R",746,"R",5517,"R",14,"R",71,"R",45
117690,"R",140,"R",2046,"R",7,"R",62,"R",39
117706,"R",524,"R",4102,"R",13,"R",69,"R",46
117715,"R",87,"R",1301,"R",7,"R",61,"R",30
117724,"R",142,"R",3254,"R",4,"R",63,"R",32
117733,"R",286,"R",3525,"R",8,"R",70,"R",43
117751,"R",217,"R",346,"R",63,"R",81,"R",50
117788,"R",287,"R",3608,"R",8,"R",65,"R",41
117867,"R",95,"R",1596,"R",6,"R",62,"R",33
117894,"R",391,"R",2441,"R",16,"R",62,"R",36
117928,"R",248,"R",583,"R",43,"R",62,"R",41
117946,"R",1390,"R",1392,"R",100,"R",92,"R",100
118116,"R",28,"R",101,"R",28,"R",58,"R",56
118125,"R",46,"R",70,"R",66,"R",57,"R",55
118134,"R",109,"R",195,"R",56,"R",77,"R",84
118143,"R",49,"R",70,"R",70,"R",90,"R",59
118161,"R",30,"R",85,"R",35,"R",98,"A",
118189,"R",78,"R",78,"R",100,"R",79,"A",
118198,"R",260,"R",290,"R",90,"R",68,"R",94
118259,"R",124,"R",127,"R",98,"R",73,"A",
118277,"R",1028,"R",1035,"R",99,"R",66,"A",
118286,"R",424,"R",1147,"R",37,"R",74,"A",
118338,"A",,"A",,"A",,"A",,"R",75
118347,"R",176,"R",1813,"R",10,"R",61,"R",39
118356,"R",76,"R",76,"R",100,"R",100,"A",
118374,"R",78,"R",78,"R",100,"R",42,"A",
118383,"R",74,"R",81,"R",91,"R",64,"A",
118392,"R",76,"R",92,"R",83,"R",71,"R",75
118417,"R",101,"R",112,"R",90,"R",74,"R",73
118426,"R",85,"R",95,"R",89,"R",78,"R",100
118435,"R",98,"R",107,"R",92,"R",76,"A",
118444,"R",79,"R",79,"R",100,"R",55,"A",
118453,"R",132,"R",157,"R",84,"R",53,"R",89
118480,"R",52,"R",62,"R",84,"R",31,"R",50
118541,"R",398,"R",414,"R",96,"R",60,"R",0
118684,"R",343,"R",2082,"R",16,"R",55,"R",35
118693,"R",190,"R",281,"R",68,"R",55,"R",65
118718,"R",2249,"R",5756,"R",39,"R",68,"R",31
118772,"R",58,"R",2223,"R",3,"R",62,"R",30
118888,"R",135,"R",254,"R",53,"R",83,"Z",0
118912,"R",661,"R",3273,"R",20,"R",59,"R",34
118921,"R",41,"R",52,"R",79,"R",74,"R",73
118930,"R",197,"R",2933,"R",7,"R",69,"R",41
118958,"R",48,"R",48,"R",100,"R",77,"A",
118967,"R",588,"R",588,"R",100,"R",86,"A",
118976,"R",299,"R",4410,"R",7,"R",72,"R",49
118994,"R",27,"R",27,"R",100,"R",85,"A",
119067,"R",228,"R",2775,"R",8,"R",65,"R",39
119137,"R",1022,"R",3851,"R",27,"R",74,"R",47
119164,"R",1217,"R",6231,"R",20,"R",75,"R",55
119173,"R",364,"R",397,"R",92,"R",78,"R",63
119216,"R",769,"R",3623,"R",21,"R",67,"R",41
119270,"R",580,"R",580,"R",100,"R",78,"R",22
119331,"R",146,"R",1971,"R",7,"R",82,"R",49
119340,"R",911,"R",1088,"R",84,"R",67,"A",
119359,"R",1007,"R",1007,"R",100,"R",71,"A",
119368,"R",714,"R",893,"R",80,"R",67,"A",
119438,"R",1015,"R",1015,"R",100,"R",62,"A",
119456,"R",770,"R",1020,"R",75,"R",77,"A",
119465,"R",811,"R",1050,"R",77,"R",79,"A",
119508,"R",912,"R",1217,"R",75,"R",74,"A",
119544,"R",23,"R",74,"R",31,"R",77,"R",12
119553,"R",101,"R",143,"R",71,"R",78,"R",100
119605,"R",7,"R",523,"R",1,"R",100,"R",65
119711,"R",83,"R",144,"R",58,"R",65,"R",75
119775,"R",5,"R",56,"R",9,"R",75,"R",0
119827,"R",76,"R",80,"R",95,"R",88,"R",100
119845,"R",85,"R",166,"R",51,"R",90,"R",40
119951,"R",56,"R",56,"R",100,"R",84,"A",
120069,"R",30,"R",103,"R",29,"R",77,"A",
120078,"R",138,"R",246,"R",56,"R",88,"A",
120087,"R",41,"R",98,"R",42,"R",60,"A",
120166,"R",18,"R",22,"R",82,"R",70,"R",50
120184,"R",161,"R",266,"R",61,"R",75,"R",0
120254,"R",496,"R",564,"R",88,"R",91,"A",
120272,"R",39,"R",39,"R",100,"R",80,"A",
120290,"R",423,"R",2926,"R",14,"R",75,"R",41
120342,"R",1881,"R",7216,"R",26,"R",73,"R",52
