"ID","2004_FT","2004_PT","2005_FT","2005_PT","2006_FT","2006_PT","2007_FT","2007_PT","2008_FT","2008_PT","2009_FT","2009_PT","2010_FT","2010_PT","2011_FT","2011_PT","2012_FT","2012_PT","2013_FT","2013_PT","2014_FT","2014_PT","2015_FT","2015_PT","2016_FT","2016_PT","2017_FT","2017_PT","2018_FT","2018_PT","2019_FT","2019_PT","2020_FT","2020_PT","2021_FT","2021_PT","2022_FT","2022_PT","2023_FT","2023_PT","2024_FT","2024_PT"
110705,91,46,90,66,89,63,91,60,91,82,91,83,91,72,92,63,91,71,92,68,92,52,93,77,93,57,93,71,92,71,92,70,91,71,91,68,92,57,92,64,93,41
110714,88,30,88,29,88,55,89,62,88,47,89,64,89,75,91,70,91,63,89,60,89,14,88,44,90,38,91,12,88,25,89,38,85,54,89,53,88,52,90,68,88,31
111434,68,37,68,42,62,33,56,31,64,36,41,25,65,32,65,29,65,32,66,34,64,38,64,38,70,34,66,34,65,39,70,33,63,26,77,38,75,36,77,34,69,35
111461,68,50,67,48,70,53,64,48,68,32,49,27,72,44,76,55,79,57,76,61,76,54,74,49,76,55,75,46,76,50,77,44,71,39,70,36,71,36,74,32,70,27
111513,68,75,81,71,81,79,75,77,79,65,82,66,82,64,62,67,92,69,95,91,94,83,90,100,86,92,78,80,87,86,90,100,69,100,83,100,83,100,90,100,88,83
111887,64,48,61,47,67,46,68,43,71,44,48,29,76,49,72,50,75,51,74,56,63,51,71,56,72,55,76,57,72,49,74,53,71,45,62,44,66,44,67,42,67,44
111896,59,40,58,31,50,29,55,28,55,23,55,28,51,21,49,20,57,25,58,29,52,29,53,23,59,29,57,27,62,31,61,33,57,33,63,40,45,28,50,25,27,15
111920,75,41,69,42,69,38,70,37,69,33,70,42,70,39,72,39,71,41,77,47,76,50,76,46,75,49,73,47,76,50,78,50,72,39,71,40,73,42,77,43,70,41
111939,71,44,67,45,67,44,68,41,73,47,53,31,73,54,75,61,75,59,73,61,72,59,76,60,73,58,68,58,72,56,72,51,67,45,72,48,68,44,66,43,69,47
111948,88,100,85,100,87,100,87,60,86,67,87,25,93,75,91,100,91,80,91,40,91,80,90,100,89,100,91,60,90,67,91,100,85,75,92,86,91,62,90,60,92,60
112172,66,48,62,43,59,41,59,41,75,47,73,47,68,57,66,54,74,62,72,63,68,57,67,54,68,55,69,56,75,53,69,51,70,44,71,38,68,48,70,43,70,43
112190,73,39,75,39,69,37,73,41,76,41,76,40,72,51,73,43,67,40,68,39,70,38,67,35,72,37,72,44,73,40,73,35,70,35,68,37,67,34,62,35,70,41
112367,86,0,73,0,62,52,90,95,73,62,60,77,63,65,62,51,54,63,49,54,35,54,30,45,55,54,51,50,63,60,70,64,80,62,50,50,95,100,96,95,100,100
112385,59,26,43,26,43,36,55,37,53,28,26,15,55,21,55,27,48,26,61,30,56,32,46,28,53,31,52,29,47,31,48,36,52,26,46,19,55,26,43,25,43,30
112561,64,36,60,34,65,36,60,39,56,35,51,34,59,16,56,36,57,31,58,37,57,36,57,35,60,39,56,41,58,32,59,40,53,23,55,33,57,23,84,26,58,30
112686,49,30,54,13,44,13,38,22,46,22,27,13,48,23,53,29,51,27,63,30,62,34,63,32,62,38,61,37,65,30,58,22,42,25,63,34,64,40,53,31,50,26
112826,68,41,65,48,60,47,69,41,68,37,68,38,63,34,64,35,60,37,67,39,63,35,66,35,68,39,67,46,67,40,71,35,65,31,69,29,65,38,71,36,72,38
113096,49,28,63,39,68,39,66,42,70,38,46,25,71,40,70,46,73,52,77,50,73,53,70,46,70,47,74,48,71,48,74,44,70,36,71,39,72,41,77,44,74,42
113193,67,39,64,47,61,39,63,44,65,29,42,23,62,38,67,33,65,35,64,34,66,45,66,37,66,38,67,45,69,36,71,36,70,40,66,39,68,41,69,34,73,39
113218,57,45,56,36,66,35,66,36,62,33,71,37,68,39,66,39,68,47,72,40,72,47,71,44,72,45,72,40,72,42,69,42,71,44,70,38,77,39,72,39,72,43
113333,72,28,73,29,63,54,76,41,80,32,53,22,80,44,74,33,77,38,79,37,81,47,81,43,78,48,80,46,79,44,79,44,77,38,79,36,78,38,81,39,76,33
113573,68,49,70,55,69,43,69,44,66,46,49,30,73,52,69,52,71,56,75,60,74,60,77,61,75,59,73,54,72,47,72,49,68,36,67,42,64,41,67,45,70,44
113634,70,43,72,49,70,43,71,49,70,43,45,44,77,43,77,47,76,49,72,49,79,51,77,52,79,55,78,56,79,52,77,51,74,46,74,44,80,47,78,50,76,49
113856,72,44,75,44,72,43,68,41,80,40,75,50,70,36,76,46,75,41,73,48,73,39,74,46,73,41,66,46,70,61,72,39,63,33,66,32,68,33,68,40,65,31
113980,74,51,72,48,74,48,73,42,74,40,68,46,75,43,75,52,77,54,79,56,76,50,78,49,77,53,78,53,78,50,77,50,71,35,68,36,71,42,71,41,73,32
114266,79,38,77,56,73,53,79,44,77,35,59,32,74,32,76,35,75,32,74,47,72,47,73,50,79,49,74,51,75,48,70,44,77,44,78,49,78,45,80,47,73,29
114460,94,87,89,79,91,78,92,88,21,25,88,86,83,71,84,92,85,67,86,79,78,92,85,95,88,88,82,67,83,100,82,75,73,72,88,80,88,78,88,100,96,86
114859,71,44,70,44,68,48,70,49,71,45,71,47,76,55,71,51,77,67,75,63,72,58,76,53,75,54,74,57,70,50,71,54,69,41,68,42,72,40,73,40,72,41
114938,62,55,69,47,70,50,62,34,65,20,47,21,63,25,69,17,69,18,69,24,71,35,76,45,77,39,72,47,71,49,69,45,65,30,70,29,78,41,75,40,69,39
115001,73,51,74,51,70,43,75,43,73,48,49,35,49,49,49,45,75,56,77,57,72,54,72,54,75,43,76,51,73,50,78,51,69,44,70,35,68,33,71,42,73,40
115126,69,43,68,40,68,41,68,45,60,35,47,24,72,41,68,47,76,48,73,53,71,52,70,45,69,51,66,49,72,49,74,46,69,35,67,30,74,36,66,30,70,35
115296,63,42,61,37,62,42,64,42,59,36,48,27,64,41,64,50,68,50,69,54,68,51,68,55,68,55,70,51,70,48,65,49,68,39,67,42,71,47,70,47,71,49
115393,72,40,68,42,66,39,72,35,73,29,54,21,71,33,69,24,72,35,73,45,75,32,78,29,76,26,77,31,79,29,73,26,68,13,61,32,72,29,73,32,73,38
115658,90,74,67,81,75,67,75,71,100,75,100,90,70,93,54,78,50,93,100,88,100,86,75,67,100,69,50,88,0,75,100,67,75,56,50,75,60,83,100,67,75,100
115755,76,50,71,70,76,62,75,57,72,54,72,43,74,53,74,43,73,41,78,36,74,21,75,41,71,35,68,38,71,45,75,31,73,63,74,57,74,60,76,68,76,39
115861,73,61,71,54,77,50,76,47,76,46,59,35,79,57,75,54,74,59,75,60,66,60,77,62,73,54,76,52,77,56,77,61,72,55,77,59,76,55,79,54,76,55
116439,69,42,67,40,67,40,70,41,71,37,43,25,74,40,75,42,76,46,79,50,79,54,78,48,78,51,77,46,79,49,78,49,80,49,80,45,80,49,77,47,79,44
117052,65,31,61,36,58,38,67,33,65,36,42,25,64,35,64,44,68,46,67,43,66,44,42,30,65,43,66,46,63,45,65,42,41,22,63,38,59,37,65,38,64,42
117195,51,28,55,43,55,43,53,36,65,30,44,15,48,24,52,27,57,24,59,31,60,28,51,24,45,24,42,20,53,29,51,25,41,15,44,30,53,20,60,26,44,26
117247,60,36,63,35,66,29,58,37,50,26,34,19,57,27,59,30,54,29,57,35,56,32,59,36,61,35,62,34,65,40,62,40,53,31,63,35,48,30,56,34,54,30
117274,43,21,43,21,36,16,42,26,59,23,17,19,35,22,44,15,48,4,47,16,49,11,58,10,52,10,45,11,53,10,48,9,56,11,52,18,50,27,50,21,57,42
117645,71,45,71,45,70,45,68,43,70,37,49,25,66,39,61,39,74,52,73,51,73,50,74,46,71,48,71,48,71,49,69,45,65,34,68,37,68,33,72,39,71,38
117690,62,39,70,31,66,36,67,35,65,37,69,40,70,44,70,40,70,48,69,54,74,53,74,50,72,46,69,47,70,47,75,34,68,29,72,27,70,25,73,30,72,21
117706,69,46,69,44,68,46,72,43,74,47,75,46,74,48,74,52,77,55,75,57,75,53,75,52,73,52,76,52,72,50,79,46,73,45,74,45,79,41,76,41,76,40
