UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP 
151111,"R",2744,"R",2952,"R",93,"R",2527,"R",2,"R",2525,"R",1557,"R",62,"R",265,"R",0,"R",265,"R",105,"R",40
151157,"R",20,"R",57,"R",35,"R",24,"R",0,"R",24,"R",12,"R",50,"R",10,"R",0,"R",10,"R",5,"R",50
151166,"R",188,"R",522,"R",36,"R",180,"R",0,"R",180,"R",65,"R",36,"R",65,"Z",0,"R",65,"R",20,"R",31
151184,"R",31,"R",42,"R",74,"R",16,"R",0,"R",16,"R",9,"R",56,"R",10,"R",0,"R",10,"R",3,"R",30
151193,"R",29,"R",64,"R",45,"R",30,"R",0,"R",30,"R",16,"R",53,"R",14,"R",0,"R",14,"R",7,"R",50
151209,"R",24,"R",87,"R",28,"R",52,"Z",0,"R",52,"R",43,"R",83,"R",6,"Z",0,"R",6,"R",5,"R",83
151236,"R",25,"R",75,"R",33,"R",27,"R",0,"R",27,"R",14,"R",52,"R",10,"R",0,"R",10,"R",6,"R",60
151245,"R",26,"R",67,"R",39,"R",44,"R",0,"R",44,"R",26,"R",59,"R",8,"R",0,"R",8,"R",6,"R",75
151263,"R",764,"R",992,"R",77,"R",753,"R",0,"R",753,"R",553,"R",73,"R",39,"R",0,"R",39,"R",21,"R",54
151290,"R",309,"R",803,"R",38,"R",328,"R",0,"R",328,"R",212,"R",65,"R",126,"R",0,"R",126,"R",57,"R",45
151306,"R",2074,"R",2734,"R",76,"R",2019,"R",0,"R",2019,"R",1267,"R",63,"R",83,"R",0,"R",83,"R",24,"R",29
151324,"R",1824,"R",1852,"R",98,"R",1552,"R",2,"R",1550,"R",1072,"R",69,"R",25,"Z",0,"R",25,"R",7,"R",28
151333,"R",382,"R",436,"R",88,"R",331,"R",0,"R",331,"R",172,"R",52,"R",54,"R",0,"R",54,"R",26,"R",48
151342,"R",884,"R",1072,"R",82,"R",778,"R",0,"R",778,"R",446,"R",57,"R",215,"R",0,"R",215,"R",81,"R",38
151351,"R",7182,"R",7198,"R",100,"R",7218,"R",0,"R",7218,"R",6409,"R",89,"R",41,"R",0,"R",41,"R",22,"R",54
151360,"R",556,"R",719,"R",77,"R",562,"R",0,"R",562,"R",298,"R",53,"R",117,"R",1,"R",116,"R",38,"R",33
151379,"R",787,"R",883,"R",89,"R",731,"R",0,"R",731,"R",447,"R",61,"R",105,"R",1,"R",104,"R",51,"R",49
151388,"R",268,"R",329,"R",81,"R",228,"R",0,"R",228,"R",116,"R",51,"R",53,"R",0,"R",53,"R",13,"R",25
151458,"R",348,"R",387,"R",90,"R",75,"R",0,"R",75,"R",54,"R",72,"R",4,"R",0,"R",4,"R",4,"R",100
151467,"R",218,"R",218,"R",100,"R",172,"R",0,"R",172,"R",94,"R",55,"R",0,"R",0,"R",0,"R",0,"A",
151494,"R",114,"R",163,"R",70,"R",76,"R",1,"R",75,"R",34,"R",45,"R",8,"R",0,"R",8,"R",2,"R",25
151500,"R",84,"R",135,"R",62,"R",104,"R",2,"R",102,"R",55,"R",54,"R",9,"R",0,"R",9,"R",3,"R",33
151519,"R",267,"R",645,"R",41,"R",204,"R",2,"R",202,"R",77,"R",38,"R",104,"R",5,"R",99,"R",12,"R",12
151537,"R",31,"R",37,"R",84,"R",25,"R",0,"R",25,"R",25,"R",100,"R",0,"R",0,"R",0,"R",0,"A",
151564,"A",,"A",,"A",,"R",10,"R",0,"R",10,"R",9,"R",90,"R",30,"Z",0,"R",30,"R",27,"R",90
151607,"A",,"A",,"A",,"R",13,"Z",0,"R",13,"R",10,"R",77,"R",4,"Z",0,"R",4,"R",3,"R",75
151616,"R",240,"R",480,"R",50,"R",315,"R",0,"R",315,"R",305,"R",97,"R",0,"R",0,"R",0,"R",0,"A",
151625,"R",255,"R",255,"R",100,"R",242,"R",0,"R",242,"R",135,"R",56,"R",0,"R",0,"R",0,"R",0,"A",
151652,"A",,"A",,"A",,"R",34,"Z",0,"R",34,"R",30,"R",88,"R",7,"Z",0,"R",7,"R",7,"R",100
151661,"A",,"A",,"A",,"R",578,"R",1,"R",577,"R",385,"R",67,"Z",0,"Z",0,"R",0,"Z",0,"A",
151777,"R",317,"R",331,"R",96,"R",311,"R",0,"R",311,"R",223,"R",72,"R",0,"R",0,"R",0,"R",0,"A",
151786,"R",271,"R",599,"R",45,"R",277,"R",0,"R",277,"R",210,"R",76,"R",17,"R",0,"R",17,"R",10,"R",59
151801,"R",1448,"R",2936,"R",49,"R",1451,"Z",0,"R",1451,"R",1136,"R",78,"R",11,"Z",0,"R",11,"R",6,"R",55
151810,"R",39,"R",87,"R",45,"R",38,"R",0,"R",38,"R",20,"R",53,"R",52,"R",0,"R",52,"R",17,"R",33
151829,"A",,"A",,"A",,"R",54,"R",0,"R",54,"R",49,"R",91,"R",0,"R",0,"R",0,"R",0,"A",
151874,"A",,"A",,"A",,"R",17,"R",0,"R",17,"R",8,"R",47,"R",24,"R",0,"R",24,"R",18,"R",75
151944,"R",222,"R",222,"R",100,"R",169,"R",0,"R",169,"R",71,"R",42,"R",0,"R",0,"R",0,"R",0,"A",
151962,"R",15,"R",30,"R",50,"R",17,"R",0,"R",17,"R",8,"R",47,"R",0,"R",0,"R",0,"R",0,"A",
152044,"A",,"A",,"A",,"R",12,"R",0,"R",12,"R",10,"R",83,"R",30,"R",0,"R",30,"R",20,"R",67
152080,"R",1989,"R",2151,"R",92,"R",2033,"R",0,"R",2033,"R",1976,"R",97,"R",6,"R",0,"R",6,"R",5,"R",83
152099,"R",337,"R",729,"R",46,"R",291,"Z",0,"R",291,"R",191,"R",66,"R",16,"Z",0,"R",16,"R",5,"R",31
152150,"A",,"A",,"A",,"R",6,"Z",0,"R",6,"R",6,"R",100,"R",5,"R",0,"R",5,"R",5,"R",100
152220,"A",,"A",,"A",,"R",208,"R",0,"R",208,"R",126,"R",61,"Z",0,"Z",0,"R",0,"Z",0,"A",
152248,"R",1223,"R",2488,"R",49,"R",1026,"R",1,"R",1025,"R",632,"R",62,"R",249,"R",0,"R",249,"R",106,"R",43
152266,"R",691,"R",1293,"R",53,"R",633,"R",0,"R",633,"R",335,"R",53,"R",100,"R",0,"R",100,"R",43,"R",43
152275,"A",,"A",,"A",,"R",67,"R",1,"R",66,"R",50,"R",76,"R",50,"R",0,"R",50,"R",34,"R",68
152309,"A",,"A",,"A",,"R",33,"Z",0,"R",33,"R",32,"R",97,"R",7,"Z",0,"R",7,"R",4,"R",57
152318,"R",474,"R",486,"R",98,"R",525,"R",0,"R",525,"R",478,"R",91,"R",0,"R",0,"R",0,"R",0,"A",
152327,"A",,"A",,"A",,"R",29,"R",0,"R",29,"R",27,"R",93,"Z",0,"Z",0,"R",0,"Z",0,"A",
152336,"R",351,"R",562,"R",62,"R",361,"R",0,"R",361,"R",252,"R",70,"R",4,"R",0,"R",4,"R",0,"R",0
152363,"R",302,"R",403,"R",75,"R",253,"R",0,"R",253,"R",171,"R",68,"R",1,"R",0,"R",1,"R",1,"R",100
152381,"R",83,"R",380,"R",22,"R",61,"R",1,"R",60,"R",49,"R",82,"R",105,"R",0,"R",105,"R",76,"R",72
152390,"R",479,"R",508,"R",94,"R",426,"R",0,"R",426,"R",368,"R",86,"R",0,"R",0,"R",0,"R",0,"A",
152415,"R",110,"R",218,"R",50,"R",69,"R",1,"R",68,"R",48,"R",71,"R",46,"R",0,"R",46,"R",7,"R",15
152424,"R",59,"R",116,"R",51,"R",62,"R",0,"R",62,"R",42,"R",68,"R",37,"R",0,"R",37,"R",11,"R",30
152497,"R",16,"R",76,"R",21,"R",13,"R",0,"R",13,"R",7,"R",54,"R",0,"R",0,"R",0,"R",0,"A",
152530,"R",472,"R",518,"R",91,"R",492,"R",0,"R",492,"R",429,"R",87,"R",1,"R",0,"R",1,"R",1,"R",100
152567,"R",416,"R",521,"R",80,"R",325,"R",0,"R",325,"R",214,"R",66,"R",1,"R",0,"R",1,"R",0,"R",0
152600,"R",713,"R",866,"R",82,"R",760,"R",0,"R",760,"R",645,"R",85,"R",2,"R",0,"R",2,"R",1,"R",50
152628,"A",,"A",,"A",,"R",5,"R",0,"R",5,"R",1,"R",20,"R",11,"R",0,"R",11,"R",4,"R",36
152637,"R",2022,"R",3377,"R",60,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",
152673,"R",250,"R",253,"R",99,"R",268,"Z",0,"R",268,"R",236,"R",88,"Z",0,"Z",0,"R",0,"Z",0,"A",
152798,"R",45,"R",129,"R",35,"R",31,"R",0,"R",31,"R",29,"R",94,"R",0,"R",0,"R",0,"R",0,"A",
152822,"R",148,"R",276,"R",54,"R",201,"R",5,"R",196,"R",137,"R",70,"R",0,"Z",0,"R",0,"Z",0,"A",
152992,"R",255,"R",380,"R",67,"R",259,"R",1,"R",258,"R",162,"R",63,"R",0,"R",0,"R",0,"R",0,"A",
153001,"R",228,"R",661,"R",34,"R",266,"R",1,"R",265,"R",189,"R",71,"R",0,"R",0,"R",0,"R",0,"A",
153038,"A",,"A",,"A",,"R",19,"R",0,"R",19,"R",13,"R",68,"R",0,"R",0,"R",0,"R",0,"A",
153074,"A",,"A",,"A",,"R",61,"R",0,"R",61,"R",55,"R",90,"R",0,"R",0,"R",0,"R",0,"A",
153083,"A",,"A",,"A",,"R",75,"R",0,"R",75,"R",59,"R",79,"R",0,"R",0,"R",0,"R",0,"A",
153092,"A",,"A",,"A",,"R",5,"R",0,"R",5,"R",5,"R",100,"R",0,"R",0,"R",0,"R",0,"A",
153108,"R",423,"R",452,"R",94,"R",410,"R",0,"R",410,"R",334,"R",81,"R",3,"R",0,"R",3,"R",3,"R",100
153126,"R",182,"R",334,"R",54,"R",163,"R",0,"R",163,"R",114,"R",70,"R",5,"R",2,"R",3,"R",2,"R",67
153144,"R",342,"R",342,"R",100,"R",276,"R",0,"R",276,"R",217,"R",79,"Z",0,"Z",0,"R",0,"Z",0,"A",
153162,"R",316,"R",316,"R",100,"R",248,"R",0,"R",248,"R",209,"R",84,"R",0,"R",0,"R",0,"R",0,"A",
153171,"A",,"A",,"A",,"R",17,"R",0,"R",17,"R",10,"R",59,"Z",0,"Z",0,"R",0,"Z",0,"A",
