UNITID,xgrcohrt,grcohrt,xugenter,ugentern,xpgrcohr,pgrcohrt,XRET_PCF,RET_PCF,XRET_PCP,RET_PCP
417503,R,120,R,134,R,89,B,,B,
417549,R,317,R,317,R,100,R,65,B,
417567,R,133,R,278,R,47,R,74,C,
417576,R,93,R,93,R,100,B,,B,
417628,R,43,R,62,R,69,B,,B,
417637,R,91,R,126,R,72,B,,B,
417646,R,36,R,36,R,100,R,67,C,
417655,R,42,R,42,R,100,R,92,B,
417673,R,51,R,52,R,98,R,72,R,100
417682,R,21,R,21,R,100,R,92,B,
417725,R,52,R,52,R,100,R,54,B,
417734,R,40,R,77,R,51,R,85,R,83
417743,R,2,R,4,R,50,R,100,B,
417752,R,30,R,33,R,90,B,,B,
417761,R,1,R,38,R,2,B,,B,
417789,R,37,R,82,R,45,R,83,R,85
417798,R,18,R,31,R,58,B,,B,
417822,R,124,R,254,R,48,B,,B,
417831,R,117,R,132,R,88,B,,B,
417840,R,39,R,54,R,72,R,82,R,75
417868,R,35,R,35,R,100,R,70,C,
417886,R,78,R,92,R,84,B,,B,
417910,R,194,R,194,R,100,R,100,B,
417947,R,33,R,33,R,100,B,,B,
417974,R,65,R,65,R,100,R,85,B,
417992,R,41,R,80,R,51,R,51,R,33
418001,R,121,R,130,R,93,R,89,R,55
418010,R,18,R,39,R,46,B,,B,
418029,R,65,R,112,R,58,B,,B,
418038,R,57,R,100,R,57,R,84,C,
418056,R,92,R,116,R,79,B,,B,
418065,R,39,R,192,R,20,B,,B,
418074,R,25,R,25,R,100,B,,B,
418083,R,40,R,72,R,55,R,86,R,75
418126,R,50,R,233,R,21,B,,B,
418162,R,325,R,623,R,52,B,,B,
418171,R,34,R,34,R,100,B,,B,
418199,R,72,R,80,R,90,B,,B,
418205,R,38,R,137,R,27,B,,B,
418223,R,41,R,41,R,100,R,84,B,
418250,R,12,R,80,R,15,R,95,R,92
418269,R,43,R,43,R,100,B,,B,
418278,R,34,R,58,R,58,B,,B,
418287,R,46,R,148,R,31,R,80,C,
418296,R,107,R,171,R,62,C,,C,
418302,R,19,R,77,R,24,B,,B,
418320,R,33,R,86,R,38,B,,B,
418339,R,46,R,98,R,46,B,,B,
418348,R,25,R,52,R,48,R,73,R,50
418357,R,112,R,238,R,47,B,,B,
