"ID","Year","Retention","Type"
160065,2014,72,"FT"
160481,2014,46,"FT"
160579,2014,57,"FT"
160612,2014,62,"FT"
160621,2014,70,"FT"
160630,2014,56,"FT"
160649,2014,45,"FT"
160658,2014,76,"FT"
160667,2014,47,"FT"
161077,2014,59,"FT"
161138,2014,62,"FT"
161192,2014,57,"FT"
161217,2014,49,"FT"
161235,2014,64,"FT"
161253,2014,77,"FT"
161341,2014,51,"FT"
161484,2014,54,"FT"
161493,2014,69,"FT"
161527,2014,83,"FT"
161545,2014,56,"FT"
161554,2014,65,"FT"
161581,2014,56,"FT"
161688,2014,58,"FT"
161767,2014,66,"FT"
161800,2014,57,"FT"
161855,2014,67,"FT"
161864,2014,50,"FT"
162007,2014,74,"FT"
162104,2014,53,"FT"
162122,2014,61,"FT"
162168,2014,56,"FT"
162283,2014,69,"FT"
162557,2014,65,"FT"
162609,2014,56,"FT"
162690,2014,62,"FT"
162706,2014,65,"FT"
162779,2014,73,"FT"
163028,2014,65,"FT"
163204,2014,28,"FT"
163268,2014,89,"FT"
163286,2014,96,"FT"
163338,2014,73,"FT"
163408,2014,67,"FT"
163426,2014,69,"FT"
163453,2014,75,"FT"
163541,2014,51,"FT"
163657,2014,60,"FT"
163815,2014,72,"FT"
163851,2014,82,"FT"
164076,2014,86,"FT"
164313,2014,42,"FT"
164447,2014,69,"FT"
164748,2014,84,"FT"
164775,2014,56,"FT"
165024,2014,81,"FT"
165033,2014,61,"FT"
165112,2014,67,"FT"
165194,2014,55,"FT"
165255,2014,98,"FT"
165820,2014,77,"FT"
165866,2014,75,"FT"
165936,2014,81,"FT"
165981,2014,60,"FT"
166133,2014,59,"FT"
166452,2014,76,"FT"
166513,2014,84,"FT"
166629,2014,90,"FT"
166638,2014,80,"FT"
166647,2014,62,"FT"
166805,2014,93,"FT"
166823,2014,59,"FT"
166887,2014,62,"FT"
166957,2014,61,"FT"
167312,2014,64,"FT"
167376,2014,62,"FT"
167534,2014,53,"FT"
167631,2014,55,"FT"
167729,2014,81,"FT"
167871,2014,85,"FT"
167905,2014,63,"FT"
168005,2014,76,"FT"
168263,2014,77,"FT"
168430,2014,82,"FT"
168847,2014,42,"FT"
168883,2014,54,"FT"
168892,2014,88,"FT"
169187,2014,85,"FT"
169248,2014,76,"FT"
169275,2014,50,"FT"
169284,2014,72,"FT"
169442,2014,82,"FT"
169479,2014,73,"FT"
169521,2014,73,"FT"
169716,2014,81,"FT"
169798,2014,73,"FT"
169910,2014,72,"FT"
169974,2014,38,"FT"
169992,2014,67,"FT"
170055,2014,58,"FT"
170082,2014,83,"FT"
170541,2014,59,"FT"
170550,2014,60,"FT"
170587,2014,52,"FT"
170639,2014,75,"FT"
170657,2014,59,"FT"
170675,2014,82,"FT"
170790,2014,63,"FT"
170967,2014,65,"FT"
170976,2014,97,"FT"
171100,2014,92,"FT"
171137,2014,80,"FT"
171146,2014,72,"FT"
171155,2014,51,"FT"
171225,2014,52,"FT"
171234,2014,55,"FT"
171304,2014,58,"FT"
171395,2014,59,"FT"
171456,2014,73,"FT"
171535,2014,48,"FT"
171571,2014,78,"FT"
172051,2014,71,"FT"
172291,2014,55,"FT"
172307,2014,53,"FT"
172617,2014,63,"FT"
172635,2014,32,"FT"
172644,2014,76,"FT"
172671,2014,65,"FT"
172680,2014,100,"FT"
172699,2014,78,"FT"
172918,2014,72,"FT"
172954,2014,51,"FT"
172963,2014,57,"FT"
173063,2014,59,"FT"
173115,2014,55,"FT"
173124,2014,68,"FT"
173160,2014,83,"FT"
173203,2014,54,"FT"
173416,2014,61,"FT"
173461,2014,57,"FT"
173559,2014,57,"FT"
173638,2014,66,"FT"
173708,2014,67,"FT"
173735,2014,54,"FT"
173799,2014,53,"FT"
173911,2014,64,"FT"
173920,2014,73,"FT"
174020,2014,70,"FT"
174066,2014,92,"FT"
174075,2014,66,"FT"
174136,2014,49,"FT"
174233,2014,77,"FT"
174251,2014,79,"FT"
174358,2014,71,"FT"
174376,2014,50,"FT"
174428,2014,60,"FT"
174473,2014,56,"FT"
174491,2014,80,"FT"
174570,2014,48,"FT"
174738,2014,55,"FT"
174756,2014,54,"FT"
174783,2014,73,"FT"
174862,2014,66,"FT"
174978,2014,66,"FT"
175041,2014,55,"FT"
175078,2014,69,"FT"
175236,2014,63,"FT"
175263,2014,57,"FT"
175272,2014,76,"FT"
175315,2014,56,"FT"
175342,2014,76,"FT"
175421,2014,66,"FT"
175519,2014,52,"FT"
175573,2014,63,"FT"
175616,2014,67,"FT"
175643,2014,61,"FT"
175652,2014,73,"FT"
175698,2014,80,"FT"
175786,2014,54,"FT"
